Name	Value	Time
txInjected-average	0	2021-11-26T14:07:18.021Z
txInjected-total	0	2021-11-26T14:07:18.021Z
txApplied-average	0	2021-11-26T14:07:18.021Z
txApplied-total	0	2021-11-26T14:07:18.021Z
txRejected-average	0	2021-11-26T14:07:18.021Z
txRejected-total	0	2021-11-26T14:07:18.021Z
txExpired-average	0	2021-11-26T14:07:18.021Z
txExpired-total	0	2021-11-26T14:07:18.021Z
txProcessed-average	0	2021-11-26T14:07:18.021Z
txProcessed-total	0	2021-11-26T14:07:18.021Z
networkTimeout-average	0	2021-11-26T14:07:18.021Z
networkTimeout-total	0	2021-11-26T14:07:18.021Z
lostNodeTimeout-average	0	2021-11-26T14:07:18.021Z
lostNodeTimeout-total	0	2021-11-26T14:07:18.021Z
queueLength-average	0	2021-11-26T14:07:18.021Z
queueLength-value	0	2021-11-26T14:07:18.021Z
serverLoad-average	0	2021-11-26T14:07:18.021Z
serverLoad-value	0	2021-11-26T14:07:18.021Z
txTimeInQueue-average	0	2021-11-26T14:07:18.021Z
txInjected-average	0	2021-11-26T14:07:19.025Z
txInjected-total	0	2021-11-26T14:07:19.025Z
txApplied-average	0	2021-11-26T14:07:19.025Z
txApplied-total	0	2021-11-26T14:07:19.025Z
txRejected-average	0	2021-11-26T14:07:19.025Z
txRejected-total	0	2021-11-26T14:07:19.025Z
txExpired-average	0	2021-11-26T14:07:19.025Z
txExpired-total	0	2021-11-26T14:07:19.025Z
txProcessed-average	0	2021-11-26T14:07:19.025Z
txProcessed-total	0	2021-11-26T14:07:19.025Z
networkTimeout-average	0	2021-11-26T14:07:19.025Z
networkTimeout-total	0	2021-11-26T14:07:19.025Z
lostNodeTimeout-average	0	2021-11-26T14:07:19.025Z
lostNodeTimeout-total	0	2021-11-26T14:07:19.025Z
queueLength-average	0	2021-11-26T14:07:19.025Z
queueLength-value	0	2021-11-26T14:07:19.025Z
serverLoad-average	0	2021-11-26T14:07:19.025Z
serverLoad-value	0	2021-11-26T14:07:19.025Z
txTimeInQueue-average	0	2021-11-26T14:07:19.025Z
txInjected-average	0	2021-11-26T14:07:20.027Z
txInjected-total	0	2021-11-26T14:07:20.027Z
txApplied-average	0	2021-11-26T14:07:20.027Z
txApplied-total	0	2021-11-26T14:07:20.027Z
txRejected-average	0	2021-11-26T14:07:20.027Z
txRejected-total	0	2021-11-26T14:07:20.027Z
txExpired-average	0	2021-11-26T14:07:20.027Z
txExpired-total	0	2021-11-26T14:07:20.027Z
txProcessed-average	0	2021-11-26T14:07:20.027Z
txProcessed-total	0	2021-11-26T14:07:20.027Z
networkTimeout-average	0	2021-11-26T14:07:20.027Z
networkTimeout-total	0	2021-11-26T14:07:20.027Z
lostNodeTimeout-average	0	2021-11-26T14:07:20.027Z
lostNodeTimeout-total	0	2021-11-26T14:07:20.027Z
queueLength-average	0	2021-11-26T14:07:20.027Z
queueLength-value	0	2021-11-26T14:07:20.027Z
serverLoad-average	0	2021-11-26T14:07:20.027Z
serverLoad-value	0	2021-11-26T14:07:20.027Z
txTimeInQueue-average	0	2021-11-26T14:07:20.027Z
txInjected-average	0	2021-11-26T14:07:21.033Z
txInjected-total	0	2021-11-26T14:07:21.033Z
txApplied-average	0	2021-11-26T14:07:21.033Z
txApplied-total	0	2021-11-26T14:07:21.033Z
txRejected-average	0	2021-11-26T14:07:21.033Z
txRejected-total	0	2021-11-26T14:07:21.033Z
txExpired-average	0	2021-11-26T14:07:21.033Z
txExpired-total	0	2021-11-26T14:07:21.033Z
txProcessed-average	0	2021-11-26T14:07:21.033Z
txProcessed-total	0	2021-11-26T14:07:21.033Z
networkTimeout-average	0	2021-11-26T14:07:21.033Z
networkTimeout-total	0	2021-11-26T14:07:21.033Z
lostNodeTimeout-average	0	2021-11-26T14:07:21.033Z
lostNodeTimeout-total	0	2021-11-26T14:07:21.033Z
queueLength-average	0	2021-11-26T14:07:21.033Z
queueLength-value	0	2021-11-26T14:07:21.033Z
serverLoad-average	0	2021-11-26T14:07:21.033Z
serverLoad-value	0	2021-11-26T14:07:21.033Z
txTimeInQueue-average	0	2021-11-26T14:07:21.033Z
txInjected-average	0	2021-11-26T14:07:22.036Z
txInjected-total	0	2021-11-26T14:07:22.036Z
